"","POVCAT","HIQ0111","HIQ0112","se.HIQ0111","se.HIQ0112"
"1",1,0.665491019465941,0.334508980534059,0.0184811183418725,0.0184811183418725
"2",2,0.73543878633753,0.26456121366247,0.0166805469565268,0.0166805469565268
"3",3,0.909682026238991,0.0903179737610093,0.00663297498766134,0.00663297498766134
